index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm3,0.0,5.203999999910593,5.195873,0.0
1,task-5-1,vm4,0.01188,2.7340000001713634,2.739693,0.0
2,task-8-2,vm2,0.01188,14.016000000061467,14.028972,0.0
3,task-2-3,vm4,0.01339,3.7660000000614673,3.777283,0.0
4,task-10-4,vm4,0.014399,9.547000000020489,9.5628,0.0
5,task-3-5,vm4,0.014399,3.7660000000614673,3.772964,0.0
6,task-4-6,vm3,0.015402,12.172000000020489,12.177899,0.0
7,task-4-7,vm1,0.0164,7.1560000001918525,7.166339,0.0
8,task-7-8,vm3,0.0164,11.016000000061467,11.02278,0.0
9,task-3-9,vm3,0.0174,13.108999999938533,13.13512,0.0
10,task-9-10,vm4,0.0174,14.390000000130385,14.41,0.0
11,task-1-11,vm4,0.0174,14.483999999938533,14.516364,0.0
12,task-7-12,vm4,0.01859,22.32799999997951,22.347547,0.0
13,task-9-13,vm4,0.01959,19.358999999938533,19.377306,0.0
18,task-6-18,vm2,0.01959,21.780999999959022,21.802548,0.0
15,task-8-15,vm4,2.739693,23.609999999869615,26.354602,2.718000000109896
19,task-10-19,vm3,5.196422,18.5,23.697352,5.172000000020489
14,task-1-14,vm1,7.166339,0.48499999986961484,7.64797,7.140000000130385
16,task-2-16,vm1,7.64797,1.7339999999385327,9.383805,7.625
17,task-5-17,vm1,9.383805,10.688000000081956,20.068455,9.358999999938533
